instance,subset,method,seed,steps,initial_objective_value,objective_value,time,avg_time_per_step
20_1000_0,train,random(0.2),1,50,12420.0,6775,51.543,
20_1000_0,train,random(0.2),1,100,12420.0,5662,96.089,
20_1000_0,train,random(0.2),1,200,12420.0,5297,203.927,
20_1000_0,train,random(0.2),1,500,12420.0,5143,476.338,
20_1000_0,train,random(0.2),1,25,12420.0,7088,23.444,
20_1000_0,train,random(0.1),1,50,12420.0,6525,47.741,
20_1000_0,train,random(0.1),1,100,12420.0,6385,92.51,
20_1000_0,train,random(0.1),1,200,12420.0,5219,189.998,
20_1000_0,train,random(0.1),1,500,12420.0,5107,449.584,
20_1000_0,train,random(0.3),1,10,12420.0,5868,11.123,
20_1000_0,train,random(0.3),1,20,12420.0,5673,21.633,
20_1000_0,train,random(0.3),1,30,12420.0,5626,32.526,
20_1000_0,train,random(0.3),1,40,12420.0,5590,43.821,
20_1000_0,train,random(0.3),1,50,12420.0,5590,54.396,
20_1000_0,train,random(0.3),1,60,12420.0,5590,66.03,
20_1000_0,train,random(0.3),1,70,12420.0,5590,77.109,
20_1000_0,train,random(0.3),1,80,12420.0,5590,88.638,
20_1000_0,train,random(0.3),1,90,12420.0,5590,99.159,
20_1000_0,train,random(0.3),1,100,12420.0,5590,110.0,
20_1000_0,train,random(0.3),1,110,12420.0,5590,120.625,
20_1000_0,train,random(0.3),1,120,12420.0,5590,131.692,
20_1000_0,train,random(0.3),1,130,12420.0,5590,142.281,
20_1000_0,train,random(0.3),1,140,12420.0,5590,153.15,
20_1000_0,train,random(0.3),1,150,12420.0,5590,164.461,
20_1000_0,train,random(0.3),1,160,12420.0,5590,175.683,
20_1000_0,train,random(0.3),1,170,12420.0,5590,186.496,
20_1000_0,train,random(0.3),1,180,12420.0,5590,197.701,
20_1000_0,train,random(0.3),1,190,12420.0,5590,208.471,
20_1000_0,train,random(0.3),1,200,12420.0,5590,219.324,
20_1000_0,train,random(0.3),1,210,12420.0,5590,230.093,
20_1000_0,train,random(0.3),1,220,12420.0,5590,240.814,
20_1000_0,train,random(0.3),1,230,12420.0,5590,251.389,
20_1000_0,train,random(0.3),1,240,12420.0,5218,262.122,
20_1000_0,train,random(0.3),1,250,12420.0,5218,273.081,
20_1000_0,train,random(0.3),1,260,12420.0,5117,284.919,
20_1000_0,train,random(0.3),1,270,12420.0,4318,296.498,
20_1000_0,train,random(0.3),1,280,12420.0,4178,308.44,
20_1000_0,train,random(0.3),1,290,12420.0,4141,320.118,
20_1000_0,train,random(0.3),1,300,12420.0,4141,331.564,
20_1000_0,train,random(0.3),1,310,12420.0,4141,342.798,
20_1000_0,train,random(0.3),1,320,12420.0,4141,354.23,
20_1000_0,train,random(0.3),1,330,12420.0,4141,365.519,
20_1000_0,train,random(0.3),1,340,12420.0,4141,377.115,
20_1000_0,train,random(0.3),1,350,12420.0,4141,388.983,
20_1000_0,train,random(0.3),1,360,12420.0,4141,399.817,
20_1000_0,train,random(0.3),1,370,12420.0,4141,410.781,
20_1000_0,train,random(0.3),1,380,12420.0,4141,421.802,
20_1000_0,train,random(0.3),1,390,12420.0,4141,432.547,
20_1000_0,train,random(0.3),1,400,12420.0,4141,443.427,
20_1000_0,train,random(0.3),1,410,12420.0,4141,455.265,
20_1000_0,train,random(0.3),1,420,12420.0,4141,466.569,
20_1000_0,train,random(0.3),1,430,12420.0,4141,477.297,
20_1000_0,train,random(0.3),1,440,12420.0,4141,488.409,
20_1000_0,train,random(0.3),1,450,12420.0,4141,500.62,
20_1000_0,train,random(0.3),1,460,12420.0,4141,512.807,
20_1000_0,train,random(0.3),1,470,12420.0,4141,525.107,
20_1000_0,train,random(0.3),1,480,12420.0,4141,537.055,
20_1000_0,train,random(0.3),1,490,12420.0,4141,549.174,
20_1000_0,train,random(0.3),1,500,12420.0,4141,560.985,
20_1000_0,train,random(0.4),1,10,12420.0,4760,23.572,
20_1000_0,train,random(0.4),1,20,12420.0,4663,42.386,
20_1000_0,train,random(0.4),1,30,12420.0,4663,62.941,
20_1000_0,train,random(0.4),1,40,12420.0,4591,87.391,
20_1000_0,train,random(0.4),1,50,12420.0,4591,105.717,
20_1000_0,train,random(0.4),1,60,12420.0,4591,125.413,
20_1000_0,train,random(0.4),1,70,12420.0,4348,141.307,
20_1000_0,train,random(0.4),1,80,12420.0,4149,160.06,
20_1000_0,train,random(0.4),1,90,12420.0,4149,178.463,
20_1000_0,train,random(0.4),1,100,12420.0,4149,196.074,
20_1000_0,train,random(0.4),1,110,12420.0,4149,213.758,
20_1000_0,train,random(0.4),1,120,12420.0,4149,231.132,
20_1000_0,train,random(0.4),1,130,12420.0,4149,248.653,
20_1000_0,train,random(0.4),1,140,12420.0,4149,265.804,
20_1000_0,train,random(0.4),1,150,12420.0,4149,284.146,
20_1000_0,train,random(0.4),1,160,12420.0,4149,303.036,
20_1000_0,train,random(0.4),1,170,12420.0,4149,321.367,
20_1000_0,train,random(0.4),1,180,12420.0,4149,338.893,
20_1000_0,train,random(0.4),1,190,12420.0,4149,355.476,
20_1000_0,train,random(0.4),1,200,12420.0,4149,376.682,
20_1000_0,train,random(0.4),1,210,12420.0,4149,393.632,
20_1000_0,train,random(0.4),1,220,12420.0,4149,410.19,
20_1000_0,train,random(0.4),1,230,12420.0,4149,426.387,
20_1000_0,train,random(0.4),1,240,12420.0,4149,445.523,
20_1000_0,train,random(0.4),1,250,12420.0,4149,463.918,
20_1000_0,train,random(0.4),1,260,12420.0,4149,482.404,
20_1000_0,train,random(0.4),1,270,12420.0,4149,498.688,
20_1000_0,train,random(0.4),1,280,12420.0,4149,515.895,
20_1000_0,train,random(0.4),1,290,12420.0,4149,534.622,
20_1000_0,train,random(0.4),1,300,12420.0,4149,555.1,
20_1000_0,train,random(0.5),1,10,12420.0,4780,360.243,
20_1000_0,train,random(0.5),1,20,12420.0,4659,507.285,
20_1000_0,train,random(0.5),1,30,12420.0,4561,645.244,
20_1000_0,train,random(0.5),1,40,12420.0,4419,886.718,
20_1000_0,train,random(0.5),1,50,12420.0,4419,1046.137,
20_1000_0,train,random(0.5),1,60,12420.0,4419,1206.545,
20_1000_0,train,random(0.5),1,70,12420.0,4419,1334.872,
20_1000_0,train,random(0.5),1,80,12420.0,4419,1490.292,
20_1000_0,train,random(0.5),1,90,12420.0,4419,1617.808,
20_1000_0,train,random(0.5),1,100,12420.0,4419,1736.810,17.368
